Type,Quartier,Price,Area,Rooms,Bedrooms,Bathrooms,Status
Appartement,Taddart,1800000,151,7.0,2.0,1.0,Bon état
Appartement,Hay Salam,910000,100,6.0,2.0,2.0,Bon état
Appartement,Hay Mohammadi,1600000,166,5.0,3.0,2.0,Bon état
Villa,Ben Serguaou,5300000,450,6.0,4.0,3.0,Bon état
Villa,Taddart,3000000,150,4.0,3.0,2.0,Bon état
Appartement,Abattoirs,1700000,114,3.0,3.0,2.0,Nouveau
Appartement,Haut Anza,300000,60,3.0,2.0,1.0,Bon état
Villa,Talborjt,450000,220,8.0,4.0,3.0,Bon état
Appartement,Hay Salam,520000,61,3.0,3.0,1.0,Bon état
Appartement,Hay Houda,900000,105,3.0,2.0,2.0,Bon état
Appartement,Riad Salam,1500000,94,4.0,3.0,2.0,Nouveau
Appartement,Hay Houda,900000,90,6.0,2.0,2.0,Bon état
Appartement,Abattoirs,1100000,95,3.0,2.0,2.0,Bon état
Appartement,Lekhiam,900000,84,2.75,3.0,1.0,Nouveau
Appartement,Hay Salam,720000,72,3.0,2.0,1.0,Bon état
Appartement,Ben Serguaou,1000000,90,3.2857142857142856,2.0,2.0,Bon état
Appartement,Extension Dakhla,969000,76,3.0,2.0,2.0,Bon état
Appartement,Charaf,1200000,94,1.0,2.0,2.0,Bon état
Appartement,Haut Anza,380000,64,1.0,2.0,1.0,Nouveau
Appartement,Hay Mohammadi,800000,50,2.0,1.0,1.0,Nouveau
Appartement,Hay Salam,900000,62,1.0,2.0,1.0,Bon état
Appartement,Amicales,1400000,85,1.0,3.0,2.0,Nouveau
Villa,Ben Serguaou,4500000,338,5.0,4.0,4.0,Nouveau
Appartement,Haut Founty,1282000,83,3.0,2.0,1.0,Nouveau
Appartement,Abattoirs,1600000,114,4.0,3.0,2.0,Bon état
Appartement,Hay Houda,960000,105,4.0,2.0,1.0,Bon état
Villa,Illigh,6800000,380,14.0,5.0,5.0,Bon état
Appartement,Tilila,750000,62,6.0,2.0,2.0,Nouveau
Appartement,Hay Mohammadi,500000,48,1.0,2.0,1.0,Bon état
Villa,Extension Dakhla,1360000,75,4.0,4.0,2.0,Bon état
Appartement,Hay Massira,1300000,86,1.0,2.0,2.0,Nouveau
Appartement,Hay Salam,680000,64,3.0,2.0,1.0,Bon état
Appartement,Amicales,1200000,80,5.0,2.0,1.0,Bon état
Appartement,Hay Mohammadi,490000,70,4.0,2.0,1.0,Bon état
Villa,Founti,4000000,300,3.0,4.0,2.0,Bon état
Appartement,Hay Houda,950000,70,1.0,2.0,2.0,Bon état
